Prov Id,Year,Fresh or frozen meat,Fresh or frozen poultry,Processed meat,"Fish, seafood and other marine products",Fresh milk,Butter,Cheese,Eggs,Bakery products,Cereal products,Fresh fruit,Preserved fruit and fruit preparations,Fresh vegetables,Preserved vegetables and vegetable preparations,Sugar and confectionery,Edible fats and oils,Coffee and tea,Non-alcoholic beverages,Food purchased from restaurants,Rented accommodation,Homeowners replacement cost,Property taxes and other special charges,Homeowners home and mortgage insurance,Homeowners maintenance and repairs,Electricity,Water,Natural gas,Fuel oil and other fuels,Telephone services,Internet access services,Child care and housekeeping services,Household cleaning products,"Paper, plastic and aluminum foil supplies",Other household goods and services,Household furnishings and equipment,Clothing,Footwear,"Clothing accessories, watches and jewellery","Clothing material, notions and services","Purchase, leasing and rental of passenger vehicles",Operation of passenger vehicles,Gasoline,Public transportation,Health care,Personal care,Recreation,Education and reading,Alcoholic beverages,Tobacco products and smokers supplies
10,2000,90.7,94.7,96.5,102.2,97.1,91.9,95.5,95.9,92.6,96.2,86.8,100.3,87.9,99.7,93.5,96.3,104.0,103.0,95.3,97.3,93.9,96.3,93.9,91.4,100.3,76.2,94.2,111.3,96.0,102.2,93.9,95.2,96.7,99.9,99.6,101.2,101.7,102.5,96.7,102.1,92.3,107.6,93.0,97.3,97.5,96.8,101.4,96.0,80.8
10,2004,107.4,113.1,103.7,98.0,105.1,107.5,104.2,102.7,109.9,102.6,97.6,100.9,78.0,100.2,103.5,105.7,101.9,97.2,103.3,102.4,110.3,106.9,111.0,104.0,109.6,101.9,127.4,124.0,100.5,102.2,102.1,99.4,96.3,102.4,97.6,97.3,102.9,101.7,104.5,97.7,122.4,118.0,104.2,100.8,102.3,100.7,98.1,107.1,124.0
10,2006,106.4,116.7,106.8,97.8,112.3,115.7,112.3,105.7,120.7,104.4,99.2,101.8,85.3,102.8,115.1,112.6,102.9,103.2,108.5,103.7,121.3,110.7,114.7,111.7,122.5,132.3,140.5,168.7,100.0,106.8,110.3,102.7,98.2,105.6,96.6,98.3,100.6,107.0,105.1,101.2,131.0,137.9,111.7,103.9,102.4,99.2,100.4,113.0,135.2
10,2008,104.2,125.8,112.4,101.4,120.2,119.9,121.0,117.4,146.1,122.3,105.1,109.5,87.4,112.3,125.9,133.4,114.5,94.5,116.9,105.6,148.9,121.0,126.2,111.6,128.6,145.1,146.8,218.1,103.4,108.8,122.8,102.4,98.2,106.0,93.6,94.8,95.8,112.7,113.1,93.4,141.4,158.7,118.8,107.6,104.6,100.4,101.6,115.1,143.1
10,2011,116.3,137.8,122.3,113.7,125.7,126.8,127.0,145.9,170.8,132.6,109.9,119.8,104.6,128.9,147.3,151.3,129.5,106.9,132.2,116.0,180.2,134.1,115.5,132.1,136.9,190.6,111.4,216.5,109.7,116.7,155.9,102.8,112.4,119.6,92.0,89.9,92.1,123.7,126.3,90.9,149.0,166.1,120.8,114.3,115.5,102.6,108.5,121.6,151.2
10,2015,155.4,155.2,152.0,133.4,134.3,135.2,131.4,162.4,195.9,145.6,130.3,129.8,108.8,139.3,155.8,162.2,135.5,105.5,147.1,126.2,185.3,153.6,154.6,159.6,152.7,211.9,116.7,175.2,126.1,127.1,171.1,111.4,116.1,139.0,92.6,90.1,96.7,126.6,146.8,96.5,144.8,143.1,132.2,112.3,117.6,103.7,115.2,128.1,185.4
10,2019,141.4,162.3,162.6,145.1,127.3,137.7,119.2,167.3,198.0,146.7,126.6,126.7,117.7,147.5,163.0,173.4,136.0,102.3,163.5,124.6,181.9,161.2,209.9,176.2,170.8,212.1,114.4,218.9,133.6,107.3,178.6,119.9,124.1,153.0,96.5,90.1,100.6,133.3,162.6,109.0,167.5,159.1,173.5,116.7,128.6,107.8,124.5,139.9,224.6
11,2000,90.7,99.0,94.0,100.2,95.3,91.7,93.1,98.1,93.4,95.6,84.3,98.6,82.6,94.9,91.3,93.3,106.3,94.7,93.2,97.6,99.9,93.5,99.6,92.8,93.0,96.8,94.2,104.9,95.1,100.0,95.7,97.0,93.9,98.7,99.1,97.0,101.9,95.5,95.1,101.5,92.2,102.6,92.9,94.9,99.2,97.2,92.3,96.7,67.6
11,2004,108.5,111.2,102.5,98.0,106.0,115.7,105.6,107.1,108.2,104.6,92.5,101.6,89.0,105.2,103.4,110.2,103.7,100.3,105.1,102.2,104.6,113.7,114.2,105.7,114.1,112.7,127.4,122.7,100.3,100.0,106.4,102.3,101.4,105.3,99.4,98.9,104.8,103.4,108.2,97.4,118.6,123.1,105.6,102.0,101.1,99.2,108.5,104.2,132.4
11,2006,111.9,117.6,106.1,98.7,114.9,128.0,116.1,112.9,119.4,107.7,97.6,104.2,104.3,112.9,116.5,114.0,107.6,103.8,109.5,105.3,110.8,126.8,119.8,111.0,114.6,117.5,140.5,167.6,99.9,101.1,116.4,109.0,107.6,110.6,97.6,96.7,104.5,108.9,113.8,100.9,132.0,151.5,113.8,104.9,102.3,96.8,118.2,109.2,141.8
11,2008,112.1,123.8,110.2,103.3,123.3,133.4,124.7,125.1,141.9,130.4,101.4,118.2,115.1,122.3,127.4,132.6,114.4,97.1,114.8,106.9,113.0,139.9,117.9,110.0,146.8,127.3,146.8,220.8,103.0,102.7,126.6,115.0,113.5,114.0,96.0,93.3,99.1,123.4,123.4,93.6,142.7,168.6,121.9,106.9,105.9,98.0,117.7,113.6,150.1
11,2011,123.1,135.8,125.8,116.4,132.6,139.9,132.9,144.1,166.9,145.3,107.1,134.1,131.4,145.1,151.8,145.9,129.7,108.2,126.5,112.0,112.3,146.1,123.0,126.6,135.1,125.1,111.4,230.6,107.8,113.1,136.8,120.7,135.6,130.8,97.0,89.4,101.9,138.9,134.2,89.8,151.6,176.8,124.6,112.3,117.3,99.4,127.8,123.1,174.9
11,2015,185.6,143.5,154.2,129.0,139.4,154.1,146.5,168.8,198.6,158.0,115.3,143.5,137.0,157.2,140.3,156.6,145.6,102.0,136.0,116.3,121.0,158.8,150.1,139.2,153.0,132.4,116.7,191.4,119.8,132.9,150.2,130.4,142.3,141.5,100.2,92.9,114.7,140.8,162.3,93.4,147.2,157.5,135.8,112.9,126.0,100.2,144.4,132.4,212.3
11,2019,161.3,146.7,171.7,148.0,142.3,168.2,141.8,185.0,199.5,162.7,114.2,138.1,154.0,156.1,146.4,163.1,145.5,106.1,149.6,120.9,123.4,168.7,172.8,158.5,154.6,140.3,114.4,211.7,121.2,115.1,154.1,140.9,164.0,154.7,104.5,90.5,109.2,155.6,179.7,105.1,158.8,170.9,174.3,120.9,136.7,109.0,161.8,138.1,246.4
12,2000,91.1,96.1,93.6,100.2,92.5,89.1,94.8,96.4,93.7,95.4,86.5,98.7,81.2,95.1,101.3,95.9,103.6,106.2,95.3,97.0,93.8,94.0,92.6,91.7,99.7,92.3,94.2,107.4,100.0,97.1,91.1,97.0,96.3,95.1,99.8,103.0,99.0,103.8,92.8,100.1,92.7,102.1,93.7,94.8,98.6,97.0,88.9,95.5,67.5
12,2004,111.0,108.6,101.2,99.3,107.7,116.0,103.9,107.1,108.9,105.8,98.9,103.3,83.9,103.9,110.1,108.1,102.3,100.3,105.6,102.2,106.8,107.5,120.7,106.6,102.9,110.6,127.4,129.2,100.3,97.1,105.8,102.3,103.1,103.2,99.2,98.6,96.1,102.6,105.0,97.2,113.7,118.6,105.4,103.7,101.8,100.4,110.1,103.8,133.0
12,2006,111.2,112.6,104.9,99.4,113.0,125.7,115.6,110.8,121.1,110.9,99.4,109.8,94.5,109.1,124.1,111.6,104.0,109.5,112.9,103.5,114.1,117.9,131.3,107.8,115.6,121.9,140.5,167.4,100.0,94.6,111.2,107.8,107.8,107.3,97.1,94.8,92.5,101.2,112.0,100.4,124.6,139.5,112.8,108.0,102.3,99.0,120.0,110.4,140.7
12,2008,110.5,120.3,110.0,101.3,121.3,132.2,127.1,121.4,141.2,123.6,103.8,120.2,102.6,118.7,129.0,130.1,112.0,113.5,121.4,105.0,129.1,129.4,140.9,110.5,118.6,133.0,146.8,207.7,103.1,99.1,118.0,114.4,108.9,111.4,97.7,93.8,93.7,98.1,117.7,93.2,136.8,159.7,118.5,110.8,106.3,100.6,118.9,116.5,153.0
12,2011,122.8,136.3,125.4,111.7,122.9,138.6,136.2,140.3,166.0,137.8,109.4,129.6,122.9,144.0,157.7,150.5,133.6,136.2,135.1,109.1,136.0,143.8,165.2,126.9,130.6,142.7,111.4,206.2,109.3,109.7,131.1,122.6,124.9,130.0,92.4,88.5,89.0,104.7,132.0,92.6,147.0,169.4,122.7,115.3,115.6,103.6,120.0,124.0,185.4
12,2015,171.3,151.4,152.6,130.6,123.6,151.1,135.0,156.7,193.5,153.6,118.7,136.7,129.1,152.1,159.3,160.7,135.7,137.1,146.0,114.0,145.9,156.1,237.5,135.8,153.1,174.0,116.7,192.8,122.6,132.4,146.2,137.4,144.3,141.4,89.3,92.4,96.8,123.0,153.3,96.6,138.0,143.1,132.5,115.4,120.2,102.7,136.4,132.2,221.2
