"Consumer Price Index, annual average, not seasonally adjusted" 1 2
"Annual"
"Table: 18-10-0005-01 (formerly CANSIM 326-0021)"
"Geography: Canada, Province or territory, Census subdivision, Census metropolitan area, Census metropolitan area part"

"Geography","Reference period","Fresh or frozen meat (excluding poultry)","Fresh or frozen poultry","Processed meat","Fish, seafood and other marine products","Fresh milk","Butter","Cheese","Eggs","Bakery products","Cereal products (excluding baby food)","Fresh fruit","Preserved fruit and fruit preparations","Fresh vegetables","Preserved vegetables and vegetable preparations","Sugar and confectionery","Edible fats and oils","Coffee and tea","Non-alcoholic beverages","Food purchased from restaurants 4","Rented accommodation","Homeowners' replacement cost","Property taxes and other special charges","Homeowners' home and mortgage insurance 5","Homeowners' maintenance and repairs","Electricity","Water","Natural gas","Fuel oil and other fuels","Telephone services","Internet access services (200212=100) 6","Child care and housekeeping services","Household cleaning products","Paper, plastic and aluminum foil supplies","Other household goods and services","Household furnishings and equipment","Clothing","Footwear","Clothing accessories, watches and jewellery","Clothing material, notions and services","Purchase, leasing and rental of passenger vehicles","Operation of passenger vehicles","Gasoline","Public transportation","Health care","Personal care","Recreation","Education and reading","Alcoholic beverages","Tobacco products and smokers' supplies"
"",,"2002=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200212=100","2002=100",,,,,,,,,,,,,,,,,,
"Canada","2000","86.7","94.7","94.2","96.0","94.2","91.3","94.9","92.6","93.5","95.8","85.9","98.6","85.3","97.2","96.0","96.4","105.7","97.5","94.0","96.5","92.1","97.6","88.2","92.0","91.3","92.6","94.2","108.7","95.1","..","99.0","96.2","94.4","94.7","98.9","101.1","101.1","99.7","95.0","100.4","96.1","103.5","92.8","95.7","98.1","98.3","93.1","95.2","67.1"
,"2001","97.9","99.2","99.2","99.5","96.9","96.4","97.6","96.5","96.9","97.9","95.8","99.4","91.7","99.1","98.2","97.9","103.9","100.4","96.9","98.1","95.3","98.3","93.7","95.5","92.9","95.2","122.1","108.8","98.8","..","99.8","98.3","98.3","97.3","99.1","101.3","101.2","99.9","97.3","100.6","95.7","100.8","94.7","98.2","99.5","99.1","96.3","97.5","75.9"
,"2002","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","..","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
,"2003","100.9","104.8","100.7","99.7","103.1","104.1","103.0","104.9","105.8","101.6","96.5","100.9","92.1","101.8","106.0","103.8","100.8","99.4","102.5","101.5","106.4","102.3","111.2","103.4","98.0","104.3","130.1","114.9","100.2","99.1","101.0","100.6","100.2","102.6","100.2","97.2","98.5","99.6","102.8","99.2","110.5","106.4","102.9","101.8","100.9","99.6","104.1","102.1","116.2"
,"2004","105.0","112.2","103.2","99.1","104.2","106.7","106.4","107.7","109.3","102.8","97.9","101.3","88.9","103.4","107.5","106.9","102.7","99.2","105.2","102.6","113.2","105.6","123.3","105.4","102.0","108.6","127.4","126.5","100.6","99.0","103.7","100.2","100.3","104.4","99.5","96.7","98.0","100.5","105.5","97.9","116.7","117.6","105.3","103.7","102.0","98.5","109.2","104.9","124.9"
,"2005","106.9","113.0","106.4","99.1","108.8","115.6","112.3","109.1","113.1","103.9","96.2","102.6","89.9","106.8","107.8","108.6","106.1","103.4","108.2","103.4","119.1","109.9","131.2","107.5","104.9","114.8","136.3","158.7","101.0","97.1","105.1","101.1","102.7","106.6","98.7","95.4","98.2","101.9","108.2","99.2","124.4","132.6","108.6","106.4","102.8","97.1","112.3","107.0","129.0"
,"2006","105.8","113.4","106.7","98.0","112.0","117.9","118.6","111.9","118.2","105.3","98.4","105.9","95.3","109.2","112.1","110.3","109.8","103.8","111.1","104.4","127.8","113.4","140.8","110.0","110.8","123.0","140.5","165.9","100.9","96.7","108.6","103.0","104.7","108.3","97.4","92.9","96.6","102.2","110.2","100.7","128.7","139.8","113.6","108.7","103.2","96.1","114.4","108.4","132.6"
,"2007","107.9","120.9","108.1","100.1","116.9","119.7","123.0","118.4","123.6","108.4","99.6","116.2","95.2","111.0","112.9","114.2","110.3","106.4","114.1","106.0","135.4","117.0","150.2","110.4","112.9","131.9","131.3","172.5","101.6","97.5","113.4","104.2","106.3","109.9","97.3","92.2","95.9","105.3","112.6","99.3","134.0","146.1","114.6","110.8","103.9","96.7","117.4","110.4","138.4"
,"2008","109.9","125.1","109.2","101.2","123.0","123.6","125.8","123.3","137.5","123.4","101.2","117.4","96.5","115.3","115.6","129.7","112.4","106.5","117.0","107.8","139.4","121.3","154.5","109.5","113.2","145.4","146.8","225.4","105.9","95.8","120.3","105.2","106.5","112.7","95.9","89.2","93.8","108.2","115.3","92.6","144.7","164.7","121.4","112.8","104.9","96.5","119.6","111.8","141.2"
,"2009","115.5","130.3","113.4","108.6","127.8","126.7","129.2","125.4","143.4","127.9","107.6","121.4","105.8","126.2","124.2","140.6","118.1","115.2","121.1","109.5","135.8","125.4","160.9","115.9","115.2","156.8","117.3","158.0","106.5","94.8","125.7","109.5","111.1","119.5","97.2","87.6","94.3","112.2","118.9","87.2","135.7","135.8","122.3","115.9","108.6","96.4","124.1","114.2","145.5"
,"2010","115.4","130.6","115.5","108.7","129.1","125.0","129.7","127.9","145.1","127.4","104.3","123.6","103.1","131.7","134.2","140.7","122.2","119.0","124.0","110.8","140.8","130.5","162.1","118.4","120.7","166.1","115.2","183.4","111.2","95.8","131.6","106.6","113.5","123.1","95.5","84.1","93.3","116.6","123.9","90.2","143.8","148.2","121.1","118.5","111.9","96.0","129.0","114.8","150.4"
,"2011","123.3","134.5","121.1","109.0","135.0","128.2","132.0","137.7","153.8","131.9","108.8","126.0","112.8","132.9","141.2","146.6","135.0","119.6","127.5","112.0","144.2","134.6","170.1","120.2","124.3","175.7","111.4","229.6","112.3","100.9","136.9","107.8","117.3","128.1","95.2","83.6","92.8","122.3","128.2","90.5","159.0","177.8","127.9","120.0","114.4","96.5","133.4","115.2","156.0"
,"2012","131.5","141.0","125.7","111.8","138.4","129.8","131.9","149.0","157.0","137.9","111.9","128.3","107.2","136.4","142.4","147.0","139.9","122.6","130.6","113.6","147.6","137.8","174.2","124.5","129.4","187.0","99.9","239.9","114.6","105.2","141.2","110.2","121.1","132.6","94.6","82.8","92.7","128.1","131.5","91.7","162.5","182.3","130.9","120.7","117.0","96.1","137.7","116.9","158.1"
,"2013","134.7","143.8","128.1","114.3","137.9","129.2","131.3","153.4","160.4","137.3","115.9","128.3","112.6","135.8","139.0","146.0","138.9","122.2","132.6","115.4","150.4","141.7","179.7","127.1","132.3","199.2","106.8","240.4","116.4","109.1","144.0","110.8","120.6","135.7","94.2","82.2","92.6","132.8","134.9","92.5","163.1","183.4","133.4","120.5","116.2","95.4","141.6","118.9","162.3"
,"2014","151.6","144.6","138.0","123.4","137.5","131.7","131.6","153.3","160.4","135.5","121.8","126.0","118.6","137.5","137.3","145.2","133.6","122.3","135.2","117.1","152.5","145.9","192.6","128.4","138.4","211.4","124.7","252.6","120.4","117.8","146.9","111.2","121.8","138.5","93.7","83.1","93.6","133.6","138.6","93.7","164.5","183.8","134.9","121.6","116.5","95.7","146.6","119.9","177.1"
,"2015","169.6","149.8","144.8","125.4","137.6","133.9","133.5","155.6","163.3","139.1","129.5","130.3","128.2","141.2","138.7","149.5","136.7","123.5","138.9","118.5","154.0","149.4","209.5","132.0","142.9","220.9","116.7","203.9","123.7","123.7","151.2","112.5","124.0","141.6","96.2","84.5","94.3","135.6","141.2","95.1","152.9","153.4","136.5","123.1","118.1","97.0","151.3","122.7","187.0"
,"2016","167.8","150.7","147.8","130.3","138.9","137.8","130.4","154.1","164.1","136.9","133.7","131.2","134.0","141.3","139.9","150.2","135.0","125.2","142.5","119.3","158.9","153.8","219.1","135.6","151.1","231.4","104.4","178.5","123.4","124.7","155.2","112.6","125.5","144.6","98.7","84.1","93.5","137.6","144.3","99.3","150.2","144.2","140.7","124.7","119.9","98.2","156.1","124.7","196.8"
,"2017","165.6","153.0","146.7","135.1","139.2","137.8","127.7","148.4","162.1","133.4","129.6","131.7","131.4","139.0","142.5","146.9","133.6","124.8","146.2","120.0","165.3","158.0","225.8","137.0","142.7","240.2","114.1","203.0","122.8","123.5","159.2","112.9","125.4","146.2","98.1","82.9","93.8","137.4","147.2","101.0","158.5","161.2","147.6","127.0","121.6","100.3","160.2","126.4","206.2"
,"2018","167.0","154.8","147.1","137.3","141.4","138.1","125.9","153.3","161.5","134.2","130.5","129.7","139.8","137.3","143.4","146.3","131.4","124.7","152.4","121.4","168.0","161.9","234.4","139.6","142.8","247.4","109.7","240.5","119.9","130.3","168.8","113.9","127.8","148.8","97.7","83.9","93.9","137.6","151.7","102.5","168.2","181.5","162.6","128.1","124.0","100.8","164.8","129.0","222.9"
,"2019","171.7","160.0","154.6","142.3","144.2","144.2","127.3","157.5","165.1","137.5","135.6","131.5","157.5","144.3","145.4","147.9","132.8","127.5","156.5","124.7","167.8","164.5","248.2","141.7","145.8","253.6","114.4","236.7","118.9","120.9","173.9","118.5","135.5","151.3","97.6","85.1","95.3","140.3","154.4","105.2","168.8","170.5","170.1","129.6","125.3","102.5","166.2","130.7","232.3"
"Newfoundland and Labrador","2000","90.7","94.7","96.5","102.2","97.1","91.9","95.5","95.9","92.6","96.2","86.8","100.3","87.9","99.7","93.5","96.3","104.0","103.0","95.3","97.3","93.9","96.3","93.9","91.4","100.3","76.2","..","111.3","96.0","..","93.9","95.2","96.7","99.9","99.6","101.2","101.7","102.5","96.7","102.1","92.3","107.6","93.0","97.3","97.5","96.8","101.4","96.0","80.8"
,"2001","99.6","97.8","100.2","102.7","99.5","95.1","97.9","98.3","93.8","99.0","96.7","100.0","86.5","99.5","97.3","99.0","103.4","101.6","98.3","98.3","96.5","97.4","96.5","96.2","97.5","77.8","..","110.0","98.7","..","95.8","98.2","99.4","100.0","99.6","104.8","102.1","101.2","97.9","100.4","90.9","103.0","94.4","99.0","99.4","97.7","102.2","98.1","84.0"
,"2002","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","..","100.0","100.0","..","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
,"2003","102.4","105.4","100.4","99.2","101.5","103.8","101.9","101.6","104.9","102.5","98.2","100.1","82.9","99.6","104.0","101.4","100.4","99.5","101.3","101.6","104.6","105.7","104.6","102.8","103.3","100.6","..","109.3","100.2","101.6","101.8","99.6","98.2","100.9","98.7","98.8","100.0","100.4","101.9","99.2","114.6","106.8","102.7","101.1","101.3","100.8","98.0","103.1","116.5"
,"2004","107.4","113.1","103.7","98.0","105.1","107.5","104.2","102.7","109.9","102.6","97.6","100.9","78.0","100.2","103.5","105.7","101.9","97.2","103.3","102.4","110.3","106.9","111.0","104.0","109.6","101.9","..","124.0","100.5","102.2","102.1","99.4","96.3","102.4","97.6","97.3","102.9","101.7","104.5","97.7","122.4","118.0","104.2","100.8","102.3","100.7","98.1","107.1","124.0"
,"2005","107.8","117.8","106.6","97.4","110.7","112.0","107.9","104.4","114.2","103.1","97.8","100.9","78.3","102.1","105.5","107.8","103.2","101.9","105.8","103.1","117.0","110.1","115.2","106.4","117.3","107.1","..","155.9","100.6","105.6","106.1","100.4","98.2","104.4","97.6","98.9","102.1","101.6","105.8","98.9","128.5","131.3","107.9","101.7","102.3","99.8","99.9","111.1","127.8"
