event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	candidate_occupation_english	candidate_occupation_french	elected_indicator	incumbent_indicator	candidate_vote	candidate_vote_percentage	candidate_residence	candidate_province_english	candidate_province_french	candidate_party_english_name	candidate_party_french_name
3600	ED10-001	01	Randy		Dawe	M	Businessperson	Personne d'affaires	N	N	10332	28.17	Clarke's Beach	Newfoundland	Terre-Neuve	Progressive Conservative	Progressiste-Conservateur
3600	ED10-001	02	Fraser		March	M	Labour Relations Consultant	Consultant en relations de travail	N	N	12359	33.7	Blaketown	Newfoundland	Terre-Neuve	N.D.P.	N.P.D.
3600	ED10-001	03	Fred	J.	Mifflin	M	Politician	Politicien	Y	Y	12929	35.25	Ottawa	Ontario	Ontario	Liberal	Libéral
3600	ED10-001	04	L.	Christopher	Randell	M	Medical Doctor	Médecin	N	N	1054	2.87	Bonavista	Newfoundland	Terre-Neuve	No Affiliation	Aucune appartenance
3600	ED10-002	01	Bill		Matthews	M	Teacher	Enseignant	Y	N	13884	45.7	Mount Pearl	Newfoundland	Terre-Neuve	Progressive Conservative	Progressiste-Conservateur
3600	ED10-002	02	Roger		Simmons	M	Educator	Éducateur	N	Y	11715	38.56	Nepean	Ontario	Ontario	Liberal	Libéral
3600	ED10-002	03	David	A.	Sullivan	M	Teacher	Enseignant	N	N	4784	15.75	Torbay	Newfoundland	Terre-Neuve	N.D.P.	N.P.D.
3600	ED10-003	01	George		Baker	M	Politician	Politicien	Y	Y	13409	52.21	Gander	Newfoundland	Terre-Neuve	Liberal	Libéral
3600	ED10-003	02	Todd		Barker	M	Student	Étudiant	N	N	8652	33.69	Grand Falls-Windsor	Newfoundland	Terre-Neuve	Progressive Conservative	Progressiste-Conservateur
3600	ED10-003	03	Mary		Shortall	F	Customer Sales Agent	Représentante des ventes	N	N	3620	14.1	St. John's	Newfoundland	Terre-Neuve	N.D.P.	N.P.D.
3600	ED10-004	01	Art		Bull	M	Retired	Retraité	N	N	11825	39.06	Corner Brook	Newfoundland	Terre-Neuve	Progressive Conservative	Progressiste-Conservateur
