Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2019,10001,Avalon,LIB,86494,70341,41731,41334,19122,12855,7142,0,2215,0
2019,10002,Bonavista--Burin--Trinity,LIB,74116,60166,32788,32179,14707,12697,3855,0,920,0
2019,10003,Coast of Bays--Central--Notre Dame,LIB,77680,63639,34952,34182,16514,12081,4224,0,1363,0
2019,10004,Labrador,LIB,27197,20184,11558,11419,4851,3548,2796,0,224,0
2019,10005,Long Range Mountains,LIB,86553,70688,39002,38426,18199,10873,7609,0,1334,411
2019,10006,St. John's East,NDP,85697,67406,45600,45072,14962,8141,21148,0,821,0
2019,10007,St. John's South--Mount Pearl,LIB,81979,67643,41258,40666,20793,7767,10890,0,740,476
2019,11001,Cardigan,LIB,36615,29869,22399,22167,10939,6439,1481,0,3068,240
2019,11002,Charlottetown,LIB,36094,27719,20184,19910,8812,4040,2238,0,4648,172
2019,11003,Egmont,LIB,34168,28557,20452,20178,8016,6934,1230,0,3998,0
2019,11004,Malpeque,LIB,36030,30576,23327,23039,9533,5908,1495,0,6103,0
2019,12001,Cape Breton--Canso,LIB,71913,60699,43541,42940,16694,14821,6354,0,3321,1750
2019,12002,Central Nova,LIB,71962,60955,44882,44470,20718,13201,5806,0,3478,1267
2019,12003,Cumberland--Colchester,LIB,80590,66967,45897,45450,16672,16219,5451,0,6015,1093
2019,12004,Dartmouth--Cole Harbour,LIB,92301,77390,53903,53499,24259,8638,14435,0,5280,887
2019,12005,Halifax,LIB,94610,76843,56113,55752,23681,6456,16747,0,8013,855
2019,12006,Halifax West,LIB,96255,77531,54822,54357,26885,10488,10429,0,6555,0
2019,12007,Kings--Hants,LIB,83465,70332,48363,48036,20806,11905,8254,0,6029,1042
2019,12008,Sackville--Preston--Chezzetcook,LIB,86498,71759,49857,49537,19925,11211,11860,0,5725,816
2019,12009,South Shore--St. Margarets,LIB,91830,78470,52957,52518,21886,14744,8361,0,6070,1457
2019,12010,Sydney--Victoria,LIB,72148,60322,41093,40565,12536,11227,8146,0,2249,6407
2019,12011,West Nova,CPC,82026,70143,47310,46798,17025,18390,5010,0,5939,434
2019,13001,Acadie--Bathurst,LIB,77791,66937,49067,48143,26547,10352,6967,0,4277,0
2019,13002,Beauséjour,LIB,82292,70361,54160,53685,24948,9438,3940,0,14305,1054
