Year,FED Id,FED Name,Winning Pid,Population,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2004,10001,Avalon,LIB,79548,31762,31426,18335,9211,3450,0,430,0
2004,10002,Bonavista--Exploits,LIB,89743,33312,33134,15970,13786,2667,0,367,344
2004,10003,Humber--St. Barbe--Baie Verte,LIB,76467,28613,28485,17820,6538,3743,0,384,0
2004,10004,Labrador,LIB,27864,8923,8877,5524,1400,856,0,178,919
2004,10005,Random--Burin--St. George's,LIB,76089,26613,26474,12383,4820,8797,0,474,0
2004,10006,St. John's North,CPC,81007,36519,36405,13343,15073,7198,0,791,0
2004,10007,St. John's South,CPC,82212,33794,33691,11879,13330,7989,0,493,0
2004,11001,Cardigan,LIB,34777,20863,20726,11064,6889,2103,0,670,0
2004,11002,Charlottetown,LIB,32245,18722,18589,9175,5121,3428,0,760,105
2004,11003,Egmont,LIB,35208,18567,18433,10220,5363,2133,0,717,0
2004,11004,Malpeque,LIB,33064,18991,18847,9782,6126,1902,0,1037,0
2004,12001,Cape Breton--Canso,LIB,75221,38171,37810,20139,7654,9197,0,820,0
2004,12002,Central Nova,CPC,73722,38045,37847,9986,16376,10470,0,1015,0
2004,12003,Dartmouth--Cole Harbour,LIB,88507,41604,41423,17425,8739,13463,0,1311,485
2004,12004,Halifax,NDP,88931,44406,44146,17267,6457,18341,0,2081,0
2004,12005,Halifax West,LIB,79933,40317,40176,19083,8413,11228,0,1452,0
2004,12006,Kings--Hants,LIB,79286,37950,37661,17555,11344,6663,0,1364,735
2004,12007,North Nova,CPC,87507,40175,39983,10591,20188,7560,0,1245,399
2004,12008,Sackville--Eastern Shore,NDP,83655,39343,39162,11222,8363,17925,0,1007,645
2004,12009,South Shore--St. Margaret's,CPC,83694,39634,39452,12658,14954,10140,0,1700,0
2004,12010,Sydney--Victoria,LIB,79294,37457,37160,19372,5897,10298,0,855,738
2004,12011,West Nova,LIB,88257,43348,43023,18343,14209,9086,0,1385,0
2004,13001,Acadie--Bathurst,NDP,76392,44762,44235,14452,4841,23857,0,1085,0
2004,13002,Beauséjour,LIB,73871,41880,41168,21934,11604,6056,0,1574,0
2004,13003,Fredericton,LIB,82782,42633,42369,19819,14193,7360,0,997,0
2004,13004,Fundy,CPC,67287,33689,33458,11635,14997,5417,0,1051,358
2004,13005,Madawaska--Restigouche,LIB,65877,32939,31671,14144,7605,8737,0,1185,0
