fid,FEDNAME,FEDUID,PRUID,Longitude,Latitude,Metroarea,RO
"1",Ottawa Centre,"35059","35","-75.71898657456838","45.39499518294887","1","1996"
"2",Oshawa,"35058","35","-78.85890307690167","43.891222585618436","0","1996"
"3",Oakville,"35057","35","-79.70051975387223","43.440628000832135","0","1996"
"4",Oak Ridges,"35056","35","-79.34260260560943","43.9622816675469","1","1996"
"5",Northumberland,"35055","35","-77.97503801650075","44.132186565939854","0","1996"
"6",Nipissing,"35054","35","-78.98659534339271","46.04386741785781","0","1996"
"7",Nickel Belt,"35053","35","-81.67066702458419","47.33346839616642","0","1996"
"8",Niagara Falls,"35052","35","-79.11866543067377","43.10667321037698","0","1996"
"9",Niagara Centre,"35051","35","-79.27887775150482","43.0434867701444","0","1996"
"10",Nepean - Carleton,"35050","35","-75.72660893742497","45.176755204984495","0","1996"
"11",West Nova,"12011","12","-65.57738188416941","44.36773321036434","0","1996"
"12",Sydney - Victoria,"12010","12","-60.615294013584595","46.43224641186964","0","1996"
"13",Mississauga West,"35049","35","-79.73238861657696","43.565314317344594","1","1996"
"14",Mississauga South,"35048","35","-79.60712971521892","43.543139314563625","0","1996"
"15",Mississauga East,"35047","35","-79.6098391841567","43.62003300971493","1","1996"
"16",Mississauga Centre,"35046","35","-79.64930891099392","43.56735801650252","1","1996"
"17",Markham,"35045","35","-79.27429367487073","43.85992231368552","1","1996"
"18",London West,"35044","35","-81.31793832844427","42.974198119099334","1","1996"
"19",London - Fanshawe,"35043","35","-81.18012589591604","42.99818665069772","1","1996"
"20",London North Centre,"35042","35","-81.25521880341152","43.01382297427664","1","1996"
"21",Leeds - Grenville,"35041","35","-75.9203458867223","44.6950670230979","0","1996"
"22",Lanark - Carleton,"35040","35","-76.28237992097041","45.1097531127135","0","1996"
"23",Sherbrooke,"24069","24","-71.89693376950363","45.41078576111383","1","1996"
"24",Shefford,"24068","24","-72.63134600288738","45.42867860420038","0","1996"
