fid,FEDNAME,FEDUID,PRUID,Metroarea,Latitude,Longitude,RO
"1",Oak Ridges--Markham,"35059","35","1","43.96382741941594","-79.44718302748133","2003"
"2",Northumberland--Quinte West,"35058","35","0","44.1409879049059","-77.92367645232426","2003"
"3",Nipissing--Timiskaming,"35057","35","0","46.532967112646276","-79.3685031039734","2003"
"4",Nickel Belt,"35056","35","0","47.15924406541374","-81.3463961565431","2003"
"5",Niagara West--Glanbrook,"35055","35","0","43.10506486446699","-79.58014576922226","2003"
"6",Niagara Falls,"35054","35","0","43.04699176927347","-79.08531701173708","2003"
"7",Newmarket--Aurora,"35053","35","1","44.01940755795021","-79.45354045343291","2003"
"8",Nepean--Carleton,"35052","35","0","45.19263736932798","-75.65820761740746","2003"
"9",Mississauga--Streetsville,"35051","35","1","43.588910847701165","-79.74002889127169","2003"
"10",Mississauga South,"35050","35","0","43.543701340579815","-79.61062534515709","2003"
"11",West Nova,"12011","12","0","44.43385562426685","-65.48457819019859","2003"
"12",Sydney--Victoria,"12010","12","0","46.431998244688046","-60.61490805780716","2003"
"13",Mississauga--Erindale,"35049","35","1","43.5519918489029","-79.69188843704836","2003"
"14",Mississauga East--Cooksville,"35048","35","1","43.59713851769615","-79.61055036489148","2003"
"15",Mississauga--Brampton South,"35047","35","1","43.63387408778047","-79.67246414627981","2003"
"16",Middlesex--Kent--Lambton,"35046","35","0","42.86912690803396","-81.82429356559146","2003"
"17",Markham--Unionville,"35045","35","1","43.850457439046686","-79.30492935771956","2003"
"18",London West,"35044","35","1","42.97420125130403","-81.3179356789284","2003"
"19",London North Centre,"35043","35","1","43.01382298471989","-81.25521879827122","2003"
"20",London--Fanshawe,"35042","35","1","42.99817133211371","-81.1800719210115","2003"
"21",Leeds--Grenville,"35041","35","0","44.69506701607073","-75.92034587349065","2003"
"22",Lanark--Frontenac--Lennox and Addington,"35040","35","0","44.783354942235974","-76.74607958164029","2003"
"23",Shefford,"24069","24","0","45.42867863164817","-72.6313462474048","2003"
"24",Saint-Maurice--Champlain,"24068","24","0","47.83046048893242","-73.79331511990013","2003"
"25",Saint-Léonard--Saint-Michel,"24067","24","1","45.582970756273454","-73.60296953357677","2003"
"26",Saint-Laurent--Cartierville,"24066","24","1","45.501971925232034","-73.71477523190357","2003"
"27",Saint-Lambert,"24065","24","1","45.50385162514411","-73.4915019673241","2003"
"28",Saint-Jean,"24064","24","0","45.2542190550683","-73.24029286914242","2003"
"29",Saint-Hyacinthe--Bagot,"24063","24","0","45.656141412920505","-72.79338357817211","2003"
"30",Saint-Bruno--Saint-Hubert,"24062","24","1","45.507279316426214","-73.37946228014746","2003"
"31",Rosemont--La Petite-Patrie,"24061","24","1","45.54615427539607","-73.58628542383768","2003"
"32",Roberval,"24060","24","0","49.5379650446641","-72.55301256629657","2003"
"33",York West,"35106","35","1","43.750700832368246","-79.53020756545227","2003"
"34",York South--Weston,"35105","35","1","43.69488786504924","-79.49332911914587","2003"
"35",York--Simcoe,"35104","35","0","44.24779327755503","-79.46604878174675","2003"
"36",York Centre,"35103","35","1","43.75585199140748","-79.46433547943731","2003"
"37",Windsor West,"35102","35","0","42.27731394145069","-83.0276774408304","2003"
"38",Windsor--Tecumseh,"35101","35","0","42.26030434736411","-82.92949270248953","2003"
"39",Willowdale,"35100","35","1","43.782749561732246","-79.39277863824995","2003"
"40",Malpeque,"11004","11","0","46.348196961041076","-63.43743302182311","2003"
"41",Egmont,"11003","11","0","46.6733858871494","-64.0834625114008","2003"
"42",Charlottetown,"11002","11","0","46.26994679424369","-63.13644439812627","2003"
"43",Cardigan,"11001","11","0","46.25537351140851","-62.64341881708774","2003"
"44",Rivière-du-Nord,"24059","24","0","45.83310735778427","-74.02060445756156","2003"
"45",Eglinton--Lawrence,"35019","35","1","43.71826137228834","-79.4337960656132","2003"
"46",Rivière-du-Loup--Montmagny,"24058","24","0","47.253702930329275","-69.86272639088607","2003"
"47",Dufferin--Caledon,"35018","35","0","43.98281644760395","-80.1073942613179","2003"
"48",Rivière-des-Mille-Îles,"24057","24","1","45.57875380689868","-73.91348670904101","2003"
"49",Don Valley West,"35017","35","1","43.729602981114034","-79.36781664244774","2003"
"50",Rimouski--Témiscouata,"24056","24","0","47.88966912848472","-68.72848129252202","2003"
"51",Don Valley East,"35016","35","1","43.75939048047893","-79.33542682104176","2003"
"52",Richmond--Arthabaska,"24055","24","0","45.853645921031415","-71.94069311445175","2003"
"53",Davenport,"35015","35","1","43.669396727367086","-79.44404353199003","2003"
"54",Richelieu,"24054","24","0","46.19213730201131","-72.51390637150303","2003"
"55",Clarington--Scugog--Uxbridge,"35014","35","0","44.06437073053354","-78.88900872184175","2003"
"56",Repentigny,"24053","24","0","45.82464755631863","-73.43931355949901","2003"
