fid,FEDUID,FEDENAME,PRUID,Metroarea,Latitude,Longitude,RO
"1","24054",Outremont,"24","1","45.510548196144775","-73.6106657471255","2013"
"2","24055",Papineau,"24","1","45.54653687554498","-73.61840238763861","2013"
"3","24056",Pierrefonds--Dollard,"24","1","45.49432938631271","-73.85391297461578","2013"
"4","24057",Pontiac,"24","0","46.60146648056251","-76.58209045480451","2013"
"5","24058",Portneuf--Jacques-Cartier,"24","0","47.12829827505557","-71.86702204969369","2013"
"6","24059",Québec,"24","1","46.809389524137906","-71.27032526056972","2013"
"7","24060",Repentigny,"24","1","45.8220109248247","-73.43031866270444","2013"
"8","24061",Richmond--Arthabaska,"24","0","45.853591292005206","-71.9407349247358","2013"
"9","24062",Rivière-des-Mille-Îles,"24","1","45.59076650624484","-73.90231266425222","2013"
"10","24037",LaSalle--Émard--Verdun,"24","1","45.446999453471605","-73.5932992493355","2013"
"11","24038",Laurentides--Labelle,"24","0","46.77875621511483","-75.08425647880101","2013"
"12","24039",Laurier--Sainte-Marie,"24","1","45.526114179837776","-73.56644620370463","2013"
"13","24040",Laval--Les Îles,"24","1","45.53920538629556","-73.82027700895192","2013"
"14","24041",Longueuil--Charles-LeMoyne,"24","1","45.48835309330767","-73.4487001756542","2013"
"15","24042",Lévis--Lotbinière,"24","0","46.525375796927335","-71.49540462564752","2013"
"16","24043",Longueuil--Saint-Hubert,"24","1","45.53512545246659","-73.44680564396059","2013"
"17","24044",Louis-Hébert,"24","1","46.78154018889673","-71.36561007837498","2013"
"18","24045",Louis-Saint-Laurent,"24","1","46.84735683957745","-71.40935666212543","2013"
"19","24046",Manicouagan,"24","0","51.54749478291351","-65.76451895617477","2013"
"20","24047",Mégantic--L'Érable,"24","0","45.903928733459104","-71.21521946101211","2013"
"21","24048",Mirabel,"24","1","45.64748155282042","-74.04661181515094","2013"
"22","24049",Montarville,"24","1","45.54416275061741","-73.3275623495668","2013"
"23","24050",Montcalm,"24","0","45.90023992745119","-73.67940777380849","2013"
"24","24051",Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,"24","0","47.25224939177368","-69.8629356500338","2013"
"25","24069",Saint-Léonard--Saint-Michel,"24","1","45.582885511650225","-73.60425719961245","2013"
"26","24070",Saint-Maurice--Champlain,"24","0","47.81683332254946","-73.81404541611606","2013"
"27","24071",Salaberry--Suroît,"24","0","45.159126635568676","-74.0824568444236","2013"
"28","24072",Shefford,"24","0","45.42868825029582","-72.62942938128805","2013"
"29","24073",Sherbrooke,"24","1","45.40627145907674","-71.90202023138905","2013"
"30","24074",Vaudreuil--Soulanges,"24","0","45.411326623818624","-74.15239214963165","2013"
"31","24075",Terrebonne,"24","1","45.733188547537516","-73.68615852815564","2013"
"32","24076",Trois-Rivières,"24","1","46.36010124359579","-72.61647542203418","2013"
"33","24077",Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,"24","1","45.4884512180564","-73.5607890723289","2013"
"34","24078",Vimy,"24","1","45.561100853955864","-73.73176055147106","2013"
"35","35022",Dufferin--Caledon,"35","0","43.982825419926506","-80.10742499793406","2013"
"36","35023",Durham,"35","0","44.05748193235183","-78.85917087415079","2013"
"37","35025",Elgin--Middlesex--London,"35","0","42.78420911193336","-81.2017148417075","2013"
"38","35026",Essex,"35","0","42.145494102032515","-82.84906090021306","2013"
"39","35027",Etobicoke Centre,"35","1","43.664414140736106","-79.55253767851714","2013"
"40","35028",Etobicoke--Lakeshore,"35","1","43.62173697859879","-79.52083503631954","2013"
"41","35029",Etobicoke North,"35","1","43.719443700867444","-79.58456095846695","2013"
"42","10001",Avalon,"10","0","47.13241829579499","-53.4145831359509","2013"
